Element Count, Quick Sort - Ascending
744, 1443920
745, 1501587
746, 1407171
747, 1437083
748, 1525979
749, 1396720
750, 1402712
751, 1406696
752, 1405875
753, 1446779
754, 2075704
755, 1479020
756, 1419942
757, 1423520
758, 1421491
759, 1451229
760, 1428041
761, 1438774
762, 1475741
763, 1441966
764, 1453779
765, 1453570
766, 1453204
767, 1456566
768, 1465954
769, 1537283
770, 1476762
771, 1484537
772, 1619133
773, 1493575
774, 1489279
775, 1536204
776, 1599433
777, 1495208
778, 1498208
779, 1505825
780, 1547095
781, 1527758
782, 1538829
783, 1523741
784, 1535933
785, 1558095
786, 1579762
787, 1577583
788, 1547629
789, 1595008
790, 1560962
791, 1635525
792, 1567970
793, 1568362
794, 1605770
795, 1682566
796, 1695487
797, 1639154
798, 1638174
799, 1615825
800, 1642004
801, 1635154
802, 1633754
803, 1615999
804, 1638229
805, 1627179
806, 1651275
807, 1653120
808, 1642995
809, 1784716
810, 1659566
811, 1791616
812, 1683816
813, 1653204
814, 1638208
815, 1671304
816, 1767854
817, 1672383
818, 1699995
819, 1662396
820, 1705958
821, 1671600
822, 1700737
823, 1684875
824, 1797904
825, 1732033
826, 1709504
827, 1759395
828, 1703554
829, 1717150
830, 1721095
831, 1707258
832, 1718450
833, 1731029
834, 1731987
835, 1742579
836, 2028308
837, 1803545
838, 1825354
839, 1745816
840, 1747387
841, 1797916
842, 1777708
843, 1777179
844, 1977987
845, 1785620
846, 1776729
847, 1804325
848, 1799749
849, 1847283
850, 1839866
851, 1818083
852, 1912275
853, 1805221
854, 1824970
855, 1826720
856, 1816629
857, 1818633
858, 1840429
859, 1828091
860, 1868708
861, 1842312
862, 1855987
863, 1858662
864, 1846725
865, 1852925
866, 1950620
867, 1889925
868, 1985175
869, 1920054
870, 2164820
871, 1912458
872, 1978433
873, 1919495
874, 1920799
875, 1918137
876, 1922666
877, 1913921
878, 1939845
879, 1918129
880, 1926654
881, 2042445
882, 1977937
883, 1966175
884, 1979841
885, 1958166
886, 1974641
887, 1952270
888, 1954029
889, 1973787
890, 1961858
891, 1961729
892, 2017720
893, 2001966
894, 2097337
895, 2115966
896, 1997995
897, 2050691
898, 2017704
899, 2067733
900, 2027362
901, 2037645
902, 2013237
903, 2022204
904, 2038916
905, 2025162
906, 2054179
907, 2244599
908, 2105196
909, 2237375
910, 2127400
911, 2131670
912, 2129837
913, 2129758
914, 2196487
915, 2344404
916, 2281853
917, 2564479
918, 2565745
919, 2144445
920, 2195533
921, 2419325
922, 2197778
923, 2118545
924, 2125812
925, 2124649
926, 2128970
927, 2134129
928, 2139279
929, 2145170
930, 2171250
931, 2159391
932, 2405500
933, 2190858
934, 2178895
935, 2170171
936, 2183279
937, 2183620
938, 2353504
939, 2197400
940, 2421416
941, 2204629
942, 2211262
943, 2214216
944, 2227050
945, 2238870
946, 2220087
947, 2247466
948, 2241154
949, 2251945
950, 2252504
951, 2250141
952, 2248166
953, 2252950
954, 2257100
955, 2264433
956, 2295291
957, 2284562
958, 2293987
959, 2290024
960, 2301937
961, 2292641
962, 2291687
963, 2292691
964, 2300608
965, 2303883
966, 2320633
967, 2315166
968, 2333312
969, 2343379
970, 2343845
971, 2352779
972, 2355054
973, 2353787
974, 2354066
975, 2370796
976, 2372620
977, 2375620
978, 2363496
979, 2373537
980, 2374587
981, 2391225
982, 2397320
983, 2413550
984, 2397412
985, 2414716
986, 2415037
987, 2417783
988, 2413946
989, 2407612
990, 2418566
991, 2425921
992, 2452487
993, 2438562
994, 2447633
995, 2458383
996, 2479591
997, 2490233
998, 2487079
999, 2487837
