Element Count, Selection Sort - Descending
872, 1397024
873, 1361437
874, 1404354
875, 1377600
876, 1397045
877, 1361083
878, 1396416
879, 1380904
880, 1394933
881, 1397221
882, 1390154
883, 1399841
884, 1371299
885, 1417708
886, 1453570
887, 1410958
888, 1463250
889, 1433708
890, 1410250
891, 1386354
892, 1440291
893, 1387504
894, 1450633
895, 1432433
896, 1378487
897, 1414687
898, 1425058
899, 1419495
900, 1432720
901, 1431383
902, 1466991
903, 1462850
904, 1459720
905, 1501479
906, 1518571
907, 1476521
908, 1498295
909, 1488754
910, 1468287
911, 1483966
912, 1492462
913, 1478758
914, 1523808
915, 1512879
916, 1516591
917, 1490004
918, 1492062
919, 1481254
920, 1487787
921, 1508233
922, 1503287
923, 1559066
924, 1519391
925, 1523571
926, 1522516
927, 1521825
928, 1552137
929, 1528166
930, 1563854
931, 1573141
932, 1521950
933, 1557816
934, 1555970
935, 1543374
936, 1563391
937, 1571849
938, 1570620
939, 1603562
940, 1602266
941, 1549408
942, 1578737
943, 1599729
944, 1618191
945, 1564045
946, 1602804
947, 1608508
948, 1643858
949, 1617237
950, 1615533
951, 1619104
952, 1618687
953, 1624275
954, 1638070
955, 1640754
956, 1662229
957, 1649787
958, 1665479
959, 1693154
960, 1636087
961, 1643437
962, 1666904
963, 1643404
964, 1672487
965, 1680412
966, 1655958
967, 1660970
968, 1651429
969, 1684116
970, 1646791
971, 1656745
972, 1633583
973, 1694516
974, 1713604
975, 1692483
976, 1747612
977, 1726379
978, 1719470
979, 1739179
980, 1758379
981, 1731008
982, 1752991
983, 1778841
984, 1745020
985, 1751783
986, 1773474
987, 1740058
988, 1721112
989, 1727904
990, 1766662
991, 1752612
992, 1751575
993, 1759875
994, 1743074
995, 1788262
996, 1791754
997, 1767570
998, 1850208
999, 1757516
