Element Count, Selection Sort - Ascending
973, 1351374
974, 1472666
975, 1293191
976, 1371979
977, 1245437
978, 1228074
979, 1244675
980, 1326004
981, 1309287
982, 1348383
983, 1337666
984, 1473741
985, 1353316
986, 1331204
987, 1331758
988, 1431204
989, 1346650
990, 1281750
991, 1274374
992, 1257049
993, 1254412
994, 1270145
995, 1360929
996, 1269633
997, 1307870
998, 1282033
999, 1351637
